[2026-02-21T10:41:56Z] Watchdog gestartet (interval=60s)
[2026-02-21T10:41:56Z] Monitor nicht aktiv -> starte neu
Started Phase 1 monitor
- PID: 24908
- Log: logs/phase1_monitor_20260221T104156Z.log
- CSV: oracle_lag_log.csv
[2026-02-21T18:39:01Z] status=RUNNING rows=8048 restarts=0 no_growth_cycles=0
[2026-02-21T18:39:01Z] status=RUNNING rows=8048 restarts=0 no_growth_cycles=0
[2026-02-21T18:40:01Z] status=RUNNING rows=8081 restarts=0 no_growth_cycles=0
[2026-02-21T18:40:01Z] status=RUNNING rows=8081 restarts=0 no_growth_cycles=0
[2026-02-21T18:41:01Z] status=RUNNING rows=8114 restarts=0 no_growth_cycles=0
[2026-02-21T18:41:01Z] status=RUNNING rows=8114 restarts=0 no_growth_cycles=0
[2026-02-21T18:42:01Z] status=RUNNING rows=8147 restarts=0 no_growth_cycles=0
[2026-02-21T18:42:01Z] status=RUNNING rows=8147 restarts=0 no_growth_cycles=0
[2026-02-21T18:43:01Z] status=RUNNING rows=8180 restarts=0 no_growth_cycles=0
[2026-02-21T18:43:01Z] status=RUNNING rows=8180 restarts=0 no_growth_cycles=0
[2026-02-21T18:44:01Z] status=RUNNING rows=8214 restarts=0 no_growth_cycles=0
[2026-02-21T18:44:01Z] status=RUNNING rows=8214 restarts=0 no_growth_cycles=0
[2026-02-21T18:45:01Z] status=RUNNING rows=8247 restarts=0 no_growth_cycles=0
[2026-02-21T18:45:01Z] status=RUNNING rows=8247 restarts=0 no_growth_cycles=0
[2026-02-21T18:46:01Z] status=RUNNING rows=8280 restarts=0 no_growth_cycles=0
[2026-02-21T18:46:01Z] status=RUNNING rows=8280 restarts=0 no_growth_cycles=0
[2026-02-21T18:47:01Z] status=RUNNING rows=8312 restarts=0 no_growth_cycles=0
[2026-02-21T18:47:01Z] status=RUNNING rows=8312 restarts=0 no_growth_cycles=0
[2026-02-21T18:48:01Z] status=RUNNING rows=8346 restarts=0 no_growth_cycles=0
[2026-02-21T18:48:01Z] status=RUNNING rows=8346 restarts=0 no_growth_cycles=0
[2026-02-21T18:49:01Z] status=RUNNING rows=8379 restarts=0 no_growth_cycles=0
[2026-02-21T18:49:01Z] status=RUNNING rows=8379 restarts=0 no_growth_cycles=0
[2026-02-21T18:50:01Z] status=RUNNING rows=8412 restarts=0 no_growth_cycles=0
[2026-02-21T18:50:01Z] status=RUNNING rows=8412 restarts=0 no_growth_cycles=0
[2026-02-21T18:51:01Z] status=RUNNING rows=8446 restarts=0 no_growth_cycles=0
[2026-02-21T18:51:01Z] status=RUNNING rows=8446 restarts=0 no_growth_cycles=0
[2026-02-21T18:52:01Z] status=RUNNING rows=8479 restarts=0 no_growth_cycles=0
[2026-02-21T18:52:01Z] status=RUNNING rows=8479 restarts=0 no_growth_cycles=0
[2026-02-21T18:53:01Z] status=RUNNING rows=8513 restarts=0 no_growth_cycles=0
[2026-02-21T18:53:01Z] status=RUNNING rows=8513 restarts=0 no_growth_cycles=0
[2026-02-21T18:54:01Z] status=RUNNING rows=8546 restarts=0 no_growth_cycles=0
[2026-02-21T18:54:01Z] status=RUNNING rows=8546 restarts=0 no_growth_cycles=0
[2026-02-21T18:55:01Z] status=RUNNING rows=8579 restarts=0 no_growth_cycles=0
[2026-02-21T18:55:01Z] status=RUNNING rows=8579 restarts=0 no_growth_cycles=0
[2026-02-21T18:56:02Z] status=RUNNING rows=8614 restarts=0 no_growth_cycles=0
[2026-02-21T18:56:02Z] status=RUNNING rows=8614 restarts=0 no_growth_cycles=0
[2026-02-21T18:57:02Z] status=RUNNING rows=8647 restarts=0 no_growth_cycles=0
[2026-02-21T18:57:02Z] status=RUNNING rows=8647 restarts=0 no_growth_cycles=0
[2026-02-21T18:58:02Z] status=RUNNING rows=8681 restarts=0 no_growth_cycles=0
[2026-02-21T18:58:02Z] status=RUNNING rows=8681 restarts=0 no_growth_cycles=0
[2026-02-21T18:59:02Z] status=RUNNING rows=8714 restarts=0 no_growth_cycles=0
[2026-02-21T18:59:02Z] status=RUNNING rows=8714 restarts=0 no_growth_cycles=0
[2026-02-21T19:00:02Z] status=RUNNING rows=8747 restarts=0 no_growth_cycles=0
[2026-02-21T19:00:02Z] status=RUNNING rows=8747 restarts=0 no_growth_cycles=0
[2026-02-21T19:01:02Z] status=RUNNING rows=8781 restarts=0 no_growth_cycles=0
[2026-02-21T19:01:02Z] status=RUNNING rows=8781 restarts=0 no_growth_cycles=0
[2026-02-21T19:02:02Z] status=RUNNING rows=8816 restarts=0 no_growth_cycles=0
[2026-02-21T19:02:02Z] status=RUNNING rows=8816 restarts=0 no_growth_cycles=0
[2026-02-21T19:03:02Z] status=RUNNING rows=8849 restarts=0 no_growth_cycles=0
[2026-02-21T19:03:02Z] status=RUNNING rows=8849 restarts=0 no_growth_cycles=0
[2026-02-21T19:04:02Z] status=RUNNING rows=8883 restarts=0 no_growth_cycles=0
[2026-02-21T19:04:02Z] status=RUNNING rows=8883 restarts=0 no_growth_cycles=0
[2026-02-21T19:05:02Z] status=RUNNING rows=8917 restarts=0 no_growth_cycles=0
[2026-02-21T19:05:02Z] status=RUNNING rows=8917 restarts=0 no_growth_cycles=0
[2026-02-21T19:06:02Z] status=RUNNING rows=8950 restarts=0 no_growth_cycles=0
[2026-02-21T19:06:02Z] status=RUNNING rows=8950 restarts=0 no_growth_cycles=0
[2026-02-21T19:07:02Z] status=RUNNING rows=8984 restarts=0 no_growth_cycles=0
[2026-02-21T19:07:02Z] status=RUNNING rows=8984 restarts=0 no_growth_cycles=0
[2026-02-21T19:08:02Z] status=RUNNING rows=9018 restarts=0 no_growth_cycles=0
[2026-02-21T19:08:02Z] status=RUNNING rows=9018 restarts=0 no_growth_cycles=0
[2026-02-21T19:09:02Z] status=RUNNING rows=9052 restarts=0 no_growth_cycles=0
[2026-02-21T19:09:02Z] status=RUNNING rows=9052 restarts=0 no_growth_cycles=0
[2026-02-21T19:10:02Z] status=RUNNING rows=9086 restarts=0 no_growth_cycles=0
[2026-02-21T19:10:02Z] status=RUNNING rows=9086 restarts=0 no_growth_cycles=0
[2026-02-21T19:11:02Z] status=RUNNING rows=9119 restarts=0 no_growth_cycles=0
[2026-02-21T19:11:02Z] status=RUNNING rows=9119 restarts=0 no_growth_cycles=0
[2026-02-21T19:12:02Z] status=RUNNING rows=9154 restarts=0 no_growth_cycles=0
[2026-02-21T19:12:02Z] status=RUNNING rows=9154 restarts=0 no_growth_cycles=0
[2026-02-21T19:13:02Z] status=RUNNING rows=9187 restarts=0 no_growth_cycles=0
[2026-02-21T19:13:02Z] status=RUNNING rows=9187 restarts=0 no_growth_cycles=0
[2026-02-21T19:14:02Z] status=RUNNING rows=9221 restarts=0 no_growth_cycles=0
[2026-02-21T19:14:02Z] status=RUNNING rows=9221 restarts=0 no_growth_cycles=0
[2026-02-21T19:15:02Z] status=RUNNING rows=9256 restarts=0 no_growth_cycles=0
[2026-02-21T19:15:02Z] status=RUNNING rows=9256 restarts=0 no_growth_cycles=0
[2026-02-21T19:16:02Z] status=RUNNING rows=9289 restarts=0 no_growth_cycles=0
[2026-02-21T19:16:02Z] status=RUNNING rows=9289 restarts=0 no_growth_cycles=0
[2026-02-21T19:17:02Z] status=RUNNING rows=9322 restarts=0 no_growth_cycles=0
[2026-02-21T19:17:02Z] status=RUNNING rows=9322 restarts=0 no_growth_cycles=0
[2026-02-21T19:18:02Z] status=RUNNING rows=9356 restarts=0 no_growth_cycles=0
[2026-02-21T19:18:02Z] status=RUNNING rows=9356 restarts=0 no_growth_cycles=0
[2026-02-21T19:19:02Z] status=RUNNING rows=9391 restarts=0 no_growth_cycles=0
[2026-02-21T19:19:02Z] status=RUNNING rows=9391 restarts=0 no_growth_cycles=0
[2026-02-21T19:20:02Z] status=RUNNING rows=9424 restarts=0 no_growth_cycles=0
[2026-02-21T19:20:02Z] status=RUNNING rows=9424 restarts=0 no_growth_cycles=0
[2026-02-21T19:21:02Z] status=RUNNING rows=9457 restarts=0 no_growth_cycles=0
[2026-02-21T19:21:02Z] status=RUNNING rows=9457 restarts=0 no_growth_cycles=0
[2026-02-21T19:22:02Z] status=RUNNING rows=9490 restarts=0 no_growth_cycles=0
[2026-02-21T19:22:02Z] status=RUNNING rows=9490 restarts=0 no_growth_cycles=0
[2026-02-21T19:23:02Z] status=RUNNING rows=9526 restarts=0 no_growth_cycles=0
[2026-02-21T19:23:02Z] status=RUNNING rows=9526 restarts=0 no_growth_cycles=0
[2026-02-21T19:24:02Z] status=RUNNING rows=9559 restarts=0 no_growth_cycles=0
[2026-02-21T19:24:02Z] status=RUNNING rows=9559 restarts=0 no_growth_cycles=0
[2026-02-21T19:25:02Z] status=RUNNING rows=9592 restarts=0 no_growth_cycles=0
[2026-02-21T19:25:02Z] status=RUNNING rows=9592 restarts=0 no_growth_cycles=0
[2026-02-21T19:26:02Z] status=RUNNING rows=9625 restarts=0 no_growth_cycles=0
[2026-02-21T19:26:02Z] status=RUNNING rows=9625 restarts=0 no_growth_cycles=0
[2026-02-21T19:27:02Z] status=RUNNING rows=9661 restarts=0 no_growth_cycles=0
[2026-02-21T19:27:02Z] status=RUNNING rows=9661 restarts=0 no_growth_cycles=0
[2026-02-21T19:28:02Z] status=RUNNING rows=9693 restarts=0 no_growth_cycles=0
[2026-02-21T19:28:02Z] status=RUNNING rows=9693 restarts=0 no_growth_cycles=0
[2026-02-21T19:29:03Z] status=RUNNING rows=9727 restarts=0 no_growth_cycles=0
[2026-02-21T19:29:03Z] status=RUNNING rows=9727 restarts=0 no_growth_cycles=0
[2026-02-21T19:30:03Z] status=RUNNING rows=9760 restarts=0 no_growth_cycles=0
[2026-02-21T19:30:03Z] status=RUNNING rows=9760 restarts=0 no_growth_cycles=0
[2026-02-21T19:31:03Z] status=RUNNING rows=9793 restarts=0 no_growth_cycles=0
[2026-02-21T19:31:03Z] status=RUNNING rows=9793 restarts=0 no_growth_cycles=0
[2026-02-21T19:32:03Z] status=RUNNING rows=9829 restarts=0 no_growth_cycles=0
