timestamp_utc,oracle_round_id,oracle_price_usd,spot_price_usd,oracle_lag_pct,momentum_30s,momentum_60s,slope,sigma_short,sigma_long,sigma_ratio,obi,cvd_60s,tau,tau_sq,funding_rate,pm_best_bid,pm_best_ask,pm_mid_prob,pm_spread,pm_obi
2026-02-21T12:04:05,,,,,,,,,,,,0.0000000000,,,,,,,,
2026-02-21T12:04:06,55340232221131973057,68104.7505150000,,,,,,,,,0.8879586215,0.0000000000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8879586215
2026-02-21T12:04:07,55340232221131973057,68104.7505150000,68124.2000000000,0.0285581914,,,,,,,0.8879586215,0.0827500000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8879586215
2026-02-21T12:04:08,55340232221131973057,68104.7505150000,68124.2000000000,0.0285581914,,,,0.0000000000,0.0000000000,,0.8879586215,0.0817600000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8879586215
2026-02-21T12:04:09,55340232221131973057,68104.7505150000,68124.2100000000,0.0285728747,,,,0.0000000360,0.0000000254,1.4142135624,0.8879586215,0.0171900000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8879586215
2026-02-21T12:04:10,55340232221131973057,68104.7505150000,68124.2000000000,0.0285581914,,,,0.0000000501,0.0000000357,1.4034041283,0.8879586215,0.0170600000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8879586215
2026-02-21T12:04:11,55340232221131973057,68104.7505150000,68124.2000000000,0.0285581914,,,,0.0000000486,0.0000000351,1.3815315565,0.8879586215,0.0137900000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8879586215
2026-02-21T13:37:18,,,,,,,,,,,,0.0000000000,,,,,,,,
2026-02-21T13:37:19,55340232221131973220,68186.8000000000,,,,,,,,,0.8880125580,0.0000000000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8880125580
2026-02-21T13:37:20,55340232221131973220,68186.8000000000,68201.8800000000,0.0221157174,,,,,,,0.8880125580,-0.0253100000,,,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8880125580
