timestamp_utc,oracle_round_id,oracle_price_usd,spot_price_usd,oracle_lag_pct,momentum_30s,momentum_60s,slope,sigma_short,sigma_long,sigma_ratio,obi,cvd_60s,tau,tau_sq,funding_rate,pm_best_bid,pm_best_ask,pm_mid_prob,pm_spread,pm_obi
2026-02-21T14:11:35,,,,,,,,,,,,0.0000000000,,,,,,,,
2026-02-21T14:11:36,55340232221131973279,68213.3638400000,,,,,,,,,0.8885752967,0.0000000000,0.6833333333,0.4669444444,,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:37,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,,,,0.8885752967,-0.0152200000,0.6833333333,0.4669444444,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:38,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,0.0000000000,0.0000000000,,0.8885752967,-0.0233900000,0.6766666667,0.4578777778,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:39,55340232221131973279,68213.3638400000,68230.8400000000,0.0256198478,,,,0.0000000359,0.0000000254,1.4142135624,0.8885752967,-0.0439900000,0.6766666667,0.4578777778,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:40,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,0.0000000500,0.0000000356,1.4034041283,0.8885752967,-0.5454900000,0.6700000000,0.4489000000,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:41,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,0.0000000485,0.0000000351,1.3815315565,0.8885752967,-0.5629300000,0.6700000000,0.4489000000,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:42,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,0.0000000470,0.0000000346,1.3599998769,0.8885752967,-0.5688200000,0.6633333333,0.4400111111,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:43,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,0.0000000456,0.0000000340,1.3388037764,0.8885752967,-0.5788900000,0.6633333333,0.4400111111,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:44,55340232221131973279,68213.3638400000,68230.8300000000,0.0256051879,,,,0.0000000442,0.0000000335,1.3179380250,0.8885752967,-0.5838400000,0.6566666667,0.4312111111,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
2026-02-21T14:11:45,55340232221131973279,68213.3638400000,68230.8400000000,0.0256198478,,,,0.0000000559,0.0000000416,1.3419836594,0.8885752967,-0.5833400000,0.6566666667,0.4312111111,0.0000271000,0.0010000000,0.9990000000,0.5000000000,0.9980000000,0.8885752967
