timestamp_utc,oracle_round_id,oracle_price_usd,spot_price_usd,oracle_lag_pct,momentum_30s,momentum_60s,slope,sigma_short,sigma_long,sigma_ratio,obi,cvd_60s,tau,tau_sq,funding_rate,pm_best_bid,pm_best_ask,pm_mid_prob,pm_spread,pm_obi,bucket_start_ts,end_price,label
2026-02-22T07:56:10,55340232221131975146,68007.5742270000,68020.2100000000,0.0185799496,,,,,,,0.1040916373,0.0000000000,0.7733333333,0.5980444444,-0.0000005300,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.1040916373,1771746900,68005.3,0
2026-02-22T08:00:00,55340232221131975152,67997.1214430000,68005.3000000000,0.0120277989,-0.0000842546,-0.0000844016,0.2803486000,0.0000081779,0.0000088518,0.9238682188,0.1612839859,-1.5729900000,1.0000000000,1.0000000000,-0.0000000400,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.1612839859,1771747200,67994.44,0
2026-02-22T08:05:00,55340232221131975161,67982.8500000000,67994.4500000000,0.0170631270,0.0000010295,-0.0000814739,0.0491567453,0.0000028081,0.0000054953,0.5110029190,-0.1553051595,-0.1527800000,0.0033333333,0.0000111111,0.0000011200,0.0100000000,0.9900000000,0.5000000000,0.9800000000,-0.1553051595,1771747500,67997.63,1
2026-02-22T08:10:00,55340232221131975170,67983.5355368700,67997.6300000000,0.0207321714,0.0000000000,0.0002103236,0.4458999351,0.0000071912,0.0000119087,0.6038647333,-0.1669192099,0.0504100000,0.0066666667,0.0000444444,0.0000016700,0.0100000000,0.9900000000,0.5000000000,0.9800000000,-0.1669192099,1771747800,67986.99,0
2026-02-22T08:15:00,55340232221131975178,67986.0481680000,67986.7800000000,0.0010764444,-0.0001741363,-0.0001741363,-0.0505221636,0.0000502486,0.0000362519,1.3860975736,0.1602250381,-2.3233900000,0.0033333333,0.0000111111,0.0000011000,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.1602250381,1771748100,68005.99,1
2026-02-22T08:20:00,55340232221131975187,67985.7077820000,68005.9900000000,0.0298330615,0.0000498498,0.0000498498,0.0254215152,0.0000063774,0.0000063019,1.0119782151,-0.2045687180,0.6260500000,1.0000000000,1.0000000000,0.0000009700,0.0100000000,0.9900000000,0.5000000000,0.9800000000,-0.2045687180,1771748400,67951.95,0
2026-02-22T08:25:00,55340232221131975196,67941.0304620000,67951.9600000000,0.0160868005,-0.0001161047,-0.0002210141,-1.3212038909,0.0000111908,0.0000145871,0.7671732440,0.1657310610,0.2926000000,0.0033333333,0.0000111111,0.0000006700,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.1657310610,1771748700,67955.95,1
2026-02-22T08:30:00,55340232221131975204,67927.0471190000,67963.2600000000,0.0533114312,0.0002878440,0.0001964490,-0.8396917818,0.0000605260,0.0000448008,1.3510032026,-0.1661983566,-4.1853600000,0.0033333333,0.0000111111,-0.0000002700,0.0100000000,0.9900000000,0.5000000000,0.9800000000,-0.1661983566,1771749000,67955.36,0
2026-02-22T08:35:00,55340232221131975213,67930.3800000000,67955.3700000000,0.0367876641,0.0001465775,0.0002846391,0.9253009382,0.0000280179,0.0000259007,1.0817444653,0.1645020358,-0.7508100000,0.0033333333,0.0000111111,0.0000008500,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.1645020358,1771749300,67987.77,1
2026-02-22T08:40:00,55340232221131975222,67973.8100000000,67987.7700000000,0.0205373217,-0.0000001471,0.0000000000,0.0082301515,0.0000003650,0.0000032705,0.1115968377,-0.1661196203,-1.7263600000,1.0000000000,1.0000000000,0.0000024700,0.0100000000,0.9900000000,0.5000000000,0.9800000000,-0.1661196203,1771749600,67959.12,0
