timestamp_utc,oracle_round_id,oracle_price_usd,spot_price_usd,oracle_lag_pct,momentum_30s,momentum_60s,slope,sigma_short,sigma_long,sigma_ratio,obi,cvd_60s,tau,tau_sq,funding_rate,pm_best_bid,pm_best_ask,pm_mid_prob,pm_spread,pm_obi
2026-02-22T07:42:21,55340232221131975122,68054.2100000000,68088.8700000000,0.0509299866,,,,,,,0.0959161671,-0.0542900000,0.5300000000,0.2809000000,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:22,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001469,0.0000001469,1.0000000000,0.0959161671,-0.0556300000,0.5300000000,0.2809000000,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:23,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001424,0.0000001446,0.9844146306,0.0959161671,-0.0560300000,0.5233333333,0.2738777778,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:24,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001381,0.0000001425,0.9690721649,0.0959161671,-0.0563700000,0.5233333333,0.2738777778,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:25,55340232221131975122,68054.2100000000,68088.8700000000,0.0509299866,,,,0.0000001386,0.0000001426,0.9719790631,0.0959161671,-0.0574400000,0.5166666667,0.2669444444,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:26,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001391,0.0000001427,0.9746662839,0.0959161671,-0.0566100000,0.5166666667,0.2669444444,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:27,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001349,0.0000001406,0.9594757498,0.0959161671,-0.0583600000,0.5100000000,0.2601000000,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:28,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001308,0.0000001384,0.9445219658,0.0959161671,-0.0607700000,0.5100000000,0.2601000000,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:29,55340232221131975122,68054.2100000000,68088.8600000000,0.0509152924,,,,0.0000001268,0.0000001364,0.9298012421,0.0959161671,-0.0573900000,0.5033333333,0.2533444444,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
2026-02-22T07:42:30,55340232221131975122,68054.2100000000,68088.8700000000,0.0509299866,,,,0.0000001281,0.0000001367,0.9370435164,0.0959161671,1.1779300000,0.5033333333,0.2533444444,-0.0000022800,0.0100000000,0.9900000000,0.5000000000,0.9800000000,0.0959161671
